match_id,country,opposition,runs,wickets,over,rpo,target,inns,result
3482,BAN,PAK,326,3,50.0,6.52,,1,0
3483,IND,AFG,160,2,32.2,4.94,160,2,1
3483,AFG,IND,159,10,45.2,3.5,,1,0
3484,WIN,ENG,278,10,47.4,5.83,304,2,0
3484,ENG,WIN,303,6,50.0,6.06,,1,1
3485,SLK,BAN,208,7,49.0,4.24,205,2,1
3485,BAN,SLK,204,9,50.0,4.08,,1,0
3486,SLK,PAK,261,5,46.2,5.63,261,2,1
3486,PAK,SLK,260,5,50.0,5.2,,1,0
3492,SLK,ENG,144,10,27.5,5.17,226,2,0
3492,ENG,SLK,247,6,39.0,6.33,,1,1
3493,SLK,ENG,256,8,50.0,5.12,,1,1
3493,ENG,SLK,99,10,26.1,3.78,257,2,0
3494,SLK,ENG,67,10,24.0,2.79,,1,0
3494,ENG,SLK,73,0,12.1,6.0,68,2,1
3495,SLK,ENG,300,9,50.0,6.0,,1,1
3495,ENG,SLK,293,8,50.0,5.86,301,2,0
3496,SLK,ENG,222,4,48.2,4.59,220,2,1
3496,ENG,SLK,219,10,48.1,4.54,,1,0
3497,IND,BAN,153,3,24.5,6.16,150,2,1
3497,BAN,IND,272,9,50.0,5.44,,1,0
3498,IND,BAN,105,10,25.3,4.11,,1,1
3498,BAN,IND,58,10,17.4,3.28,106,2,0
3500,SLK,SOA,229,10,40.3,5.65,305,2,0
3500,SOA,SLK,304,5,50.0,6.08,,1,1
3501,SLK,SOA,267,10,49.2,5.41,,1,1
3501,SOA,SLK,180,10,38.1,4.71,268,2,0
3502,SLK,SOA,257,10,44.3,5.77,340,2,0
3502,SOA,SLK,339,5,50.0,6.78,,1,1
3509,WIN,BAN,219,7,39.4,5.52,218,2,1
3509,BAN,WIN,217,9,50.0,4.34,,1,0
3511,WIN,BAN,247,7,50.0,4.94,,1,1
3511,BAN,WIN,70,10,24.4,2.83,248,2,0
3512,SLK,PAK,275,7,45.0,6.11,,1,0
3512,PAK,SLK,277,6,44.5,6.17,275,2,1
3514,WIN,BAN,338,7,50.0,6.76,,1,1
3514,BAN,WIN,247,8,50.0,4.94,339,2,0
3515,SLK,PAK,310,9,50.0,6.2,,1,1
3515,PAK,SLK,233,10,43.5,5.31,311,2,0
3516,SOA,AUS,328,3,46.4,7.02,328,2,1
3516,AUS,SOA,327,7,50.0,6.54,,1,0
3517,IND,ENG,304,6,50.0,6.08,,1,1
3517,ENG,IND,161,10,38.1,4.21,295,2,0
3519,SLK,PAK,104,3,18.2,5.67,101,2,1
3519,PAK,SLK,102,10,32.1,3.17,,1,0
3520,IND,ENG,228,4,43.0,5.3,228,2,1
3520,ENG,IND,227,10,50.0,4.54,,1,0
3522,SOA,AUS,220,10,44.0,5.0,283,2,0
3522,AUS,SOA,282,7,50.0,5.64,,1,1
3523,IND,ENG,212,1,30.3,6.95,207,2,1
3523,ENG,IND,206,10,49.3,4.16,,1,0
3525,IND,ENG,253,10,48.4,5.19,295,2,0
3525,ENG,IND,294,7,50.0,5.88,,1,1
3526,SOA,AUS,221,4,40.5,5.41,218,2,1
3526,AUS,SOA,217,9,50.0,4.34,,1,0
3530,PAK,AUS,162,10,36.3,4.43,256,2,0
3530,AUS,PAK,255,8,50.0,5.1,,1,1
3531,WIN,IND,321,6,50.0,6.42,,1,1
3531,IND,WIN,197,10,41.0,4.8,322,2,0
3532,PAK,AUS,215,10,49.3,4.34,,1,0
3532,AUS,PAK,217,5,43.2,5.0,216,2,1
3533,WIN,IND,215,10,46.3,4.62,264,2,0
3533,IND,WIN,263,7,50.0,5.26,,1,1
3534,PAK,AUS,230,10,50.0,4.6,232,2,0
3534,AUS,PAK,231,9,50.0,4.62,,1,1
3535,WIN,IND,271,10,48.1,5.62,331,2,0
3535,IND,WIN,330,6,50.0,6.6,,1,1
3536,SOA,NZL,236,4,48.1,4.89,231,2,1
3536,NZL,SOA,230,10,45.1,5.09,,1,0
3537,SOA,NZL,282,9,50.0,5.64,,1,1
3537,NZL,SOA,210,10,46.3,4.51,283,2,0
3539,SLK,IND,194,10,39.2,4.93,364,2,0
3539,IND,SLK,363,5,50.0,7.26,,1,1
3540,SLK,IND,274,8,50.0,5.48,,1,0
3540,IND,SLK,275,4,44.3,6.17,275,2,1
3543,SLK,IND,242,10,48.2,5.0,,1,0
3543,IND,SLK,245,4,44.1,5.54,243,2,1
3544,SLK,IND,251,10,43.1,5.81,405,2,0
3544,IND,SLK,404,5,50.0,8.08,,1,1
3545,SOA,AUS,268,10,48.1,5.56,301,2,0
3545,AUS,SOA,300,8,50.0,6.0,,1,1
3546,SOA,AUS,157,7,27.4,5.67,155,2,1
3546,AUS,SOA,154,10,41.4,3.69,,1,0
3547,SLK,IND,286,8,50.0,5.72,,1,0
3547,IND,SLK,288,7,48.4,5.91,287,2,1
3548,SOA,AUS,256,10,44.3,5.75,330,2,0
3548,AUS,SOA,329,5,50.0,6.58,,1,1
3549,SOA,AUS,267,8,50.0,5.34,,1,0
3549,AUS,SOA,268,7,49.0,5.46,268,2,1
3551,SOA,AUS,280,6,50.0,5.6,,1,0
3551,AUS,SOA,275,8,47.1,5.83,275,2,1
3554,SLK,ENG,317,6,50.0,6.34,,1,1
3554,ENG,SLK,292,10,47.1,6.19,318,2,0
3557,SLK,ENG,186,2,34.2,5.41,186,2,1
3557,ENG,SLK,185,10,43.0,4.3,,1,0
3561,SLK,ENG,242,8,35.0,6.91,,1,0
3561,ENG,SLK,236,5,33.4,7.0,236,2,1
3563,SLK,ENG,267,4,49.4,5.37,266,2,1
3563,ENG,SLK,265,10,50.0,5.3,,1,0
3564,PAK,NZL,250,7,49.3,5.05,247,2,1
3564,NZL,PAK,246,7,50.0,4.92,,1,0
3565,SLK,ENG,239,10,49.0,4.87,,1,0
3565,ENG,SLK,240,5,49.1,4.88,240,2,1
3566,PAK,NZL,252,10,48.3,5.19,,1,0
3566,NZL,PAK,255,6,46.0,5.54,253,2,1
3567,SLK,ENG,292,7,50.0,5.84,,1,1
3567,ENG,SLK,202,10,41.3,4.86,293,2,0
3568,PAK,NZL,364,7,50.0,7.28,,1,1
3568,NZL,PAK,217,10,38.2,5.66,365,2,0
3569,SLK,ENG,302,6,50.0,6.04,,1,1
3569,ENG,SLK,215,10,45.5,4.69,303,2,0
3570,PAK,NZL,292,8,50.0,5.84,300,2,0
3570,NZL,PAK,299,5,50.0,5.98,,1,1
3571,PAK,NZL,207,10,43.3,4.75,276,2,0
3571,NZL,PAK,275,4,50.0,5.5,,1,1
3574,SLK,NZL,218,9,50.0,4.36,,1,0
3574,NZL,SLK,219,7,43.0,5.09,219,2,1
3577,SLK,NZL,252,4,47.4,5.28,249,2,1
3577,NZL,SLK,248,10,50.0,4.96,,1,0
3578,ENG,AUS,234,10,47.5,4.89,,1,0
3578,AUS,ENG,235,7,39.5,5.89,235,2,1
3579,WIN,SOA,164,10,28.2,5.78,226,2,0
3579,SOA,WIN,279,8,48.2,5.77,,1,1
3582,IND,AUS,267,8,50.0,5.34,,1,0
3582,AUS,IND,269,6,49.0,5.48,268,2,1
3583,WIN,SOA,291,7,50.0,5.82,440,2,0
3583,SOA,WIN,439,2,50.0,8.78,,1,1
3585,SLK,NZL,276,10,49.3,5.57,,1,0
3585,NZL,SLK,280,6,48.1,5.81,277,2,1
3586,IND,ENG,153,10,39.3,3.87,,1,0
3586,ENG,IND,156,1,27.3,5.67,154,2,1
3587,WIN,SOA,122,10,33.4,3.62,,1,0
3587,SOA,WIN,124,1,24.4,5.02,123,2,1
3588,SLK,NZL,252,10,43.4,5.77,361,2,0
3588,NZL,SLK,360,5,50.0,7.2,,1,1
3589,ENG,AUS,303,8,50.0,6.06,,1,0
3589,AUS,ENG,304,7,49.5,6.1,304,2,1
3590,SLK,NZL,195,10,40.3,4.81,316,2,0
3590,NZL,SLK,315,8,50.0,6.3,,1,1
3591,WIN,SOA,266,9,48.3,5.48,263,2,1
3591,SOA,WIN,262,8,50.0,5.24,,1,0
3593,WIN,SOA,230,10,37.4,6.1,362,2,0
3593,SOA,WIN,361,5,42.0,8.59,,1,1
3594,SLK,NZL,287,6,50.0,5.74,,1,1
3594,NZL,SLK,253,10,45.2,5.58,288,2,0
3595,IND,ENG,200,10,48.1,4.15,,1,0
3595,ENG,IND,201,7,46.5,4.29,201,2,1
3596,PAK,NZL,210,10,45.3,4.61,,1,0
3596,NZL,PAK,213,3,39.3,5.39,211,2,1
3597,ENG,AUS,166,10,39.1,4.23,279,2,0
3597,AUS,ENG,278,8,50.0,5.56,,1,1
3598,PAK,NZL,250,10,43.1,5.79,370,2,0
3598,NZL,PAK,369,5,50.0,7.38,,1,1
3599,SLK,NZL,233,10,46.1,5.04,332,2,0
3599,NZL,SLK,331,6,50.0,6.62,,1,1
3600,ENG,AUS,231,10,41.5,5.52,343,2,0
3600,AUS,ENG,342,9,50.0,6.84,,1,1
3602,PAK,IND,224,10,47.0,4.76,301,2,0
3602,IND,PAK,300,7,50.0,6.0,,1,1
3605,BAN,AFG,267,10,50.0,5.34,,1,1
3605,AFG,BAN,162,10,42.5,3.78,268,2,0
3607,NZL,ENG,125,2,12.2,10.13,124,2,1
3607,ENG,NZL,123,10,33.2,3.69,,1,0
3608,WIN,PAK,310,6,50.0,6.2,,1,1
3608,PAK,WIN,160,10,39.0,4.1,311,2,0
3609,SLK,AFG,236,6,48.2,4.88,233,2,1
3609,AFG,SLK,232,10,49.4,4.67,,1,0
3610,SOA,IND,177,10,40.2,4.38,308,2,0
3610,IND,SOA,307,7,50.0,6.14,,1,1
3615,SLK,BAN,332,1,50.0,6.64,,1,1
3615,BAN,SLK,240,10,47.0,5.1,333,2,0
3616,WIN,SOA,151,10,33.1,4.55,409,2,0
3616,SOA,WIN,408,5,50.0,8.16,,1,1
3617,NZL,AUS,152,9,23.1,6.56,152,2,1
3617,AUS,NZL,151,10,32.2,4.67,,1,0
3619,SLK,ENG,312,1,47.2,6.59,310,2,1
3619,ENG,SLK,309,6,50.0,6.18,,1,0
3623,AUS,AFG,417,6,50.0,8.34,,1,1
3623,AFG,AUS,142,10,37.3,3.78,418,2,0
3625,WIN,IND,182,10,44.2,4.1,,1,0
3625,IND,WIN,185,6,39.1,4.72,183,2,1
3626,SOA,PAK,202,10,33.3,6.02,232,2,0
3626,PAK,SOA,222,10,46.4,4.75,,1,1
3628,NZL,AFG,188,4,36.1,5.19,187,2,1
3628,AFG,NZL,186,10,47.4,3.9,,1,0
3629,SLK,AUS,312,10,46.2,6.73,377,2,0
3629,AUS,SLK,376,9,50.0,7.52,,1,1
3630,ENG,BAN,260,10,48.3,5.36,276,2,0
3630,BAN,ENG,275,7,50.0,5.5,,1,1
3634,NZL,BAN,290,7,48.5,5.93,289,2,1
3634,BAN,NZL,288,7,50.0,5.76,,1,0
3635,ENG,AFG,101,1,18.1,5.55,101,2,1
3635,AFG,ENG,111,7,36.2,3.05,,1,0
3640,SLK,SOA,133,10,37.2,3.56,,1,0
3640,SOA,SLK,134,1,18.0,7.44,134,2,1
3641,IND,BAN,302,6,50.0,6.04,,1,1
3641,BAN,IND,193,10,45.0,4.28,303,2,0
3642,PAK,AUS,213,10,49.5,4.27,,1,0
3642,AUS,PAK,216,4,33.5,6.38,214,2,1
3643,WIN,NZL,250,10,30.3,8.19,394,2,0
3643,NZL,WIN,393,6,50.0,7.86,,1,1
3644,SOA,NZL,281,5,43.0,6.53,,1,0
3644,NZL,SOA,299,6,42.5,6.98,298,2,1
3645,IND,AUS,233,10,46.5,4.97,329,2,0
3645,AUS,IND,328,7,50.0,6.56,,1,1
3646,NZL,AUS,183,10,45.0,4.06,,1,0
3646,AUS,NZL,186,3,33.1,5.6,184,2,1
3647,PAK,BAN,250,10,45.2,5.51,330,2,0
3647,BAN,PAK,329,6,50.0,6.58,,1,1
3648,PAK,BAN,239,6,50.0,4.78,,1,0
3648,BAN,PAK,240,3,38.1,6.28,240,2,1
3649,PAK,BAN,250,10,49.0,5.1,,1,0
3649,BAN,PAK,251,2,39.3,6.35,251,2,1
3654,NZL,ENG,198,10,31.1,6.35,409,2,0
3654,ENG,NZL,408,9,50.0,8.16,,1,1
3655,NZL,ENG,398,5,50.0,7.96,,1,1
3655,ENG,NZL,365,9,46.0,7.93,379,2,0
3656,NZL,ENG,306,7,49.0,6.24,303,2,1
3656,ENG,NZL,302,10,45.2,6.66,,1,0
3657,NZL,ENG,349,7,50.0,6.98,,1,0
3657,ENG,NZL,350,3,44.0,7.95,350,2,1
3658,IND,BAN,228,10,46.0,4.95,308,2,0
3658,BAN,IND,307,10,49.4,6.18,,1,1
3659,NZL,ENG,283,9,50.0,5.66,,1,0
3659,ENG,NZL,192,7,25.0,7.68,192,2,1
3660,IND,BAN,200,10,45.0,4.44,,1,0
3660,BAN,IND,200,4,38.0,5.26,200,2,1
3661,IND,BAN,317,6,50.0,6.34,,1,1
3661,BAN,IND,240,10,47.0,5.1,318,2,0
3663,SOA,BAN,164,2,31.1,5.26,161,2,1
3663,BAN,SOA,160,10,36.3,4.38,,1,0
3664,SLK,PAK,255,8,50.0,5.1,,1,0
3664,PAK,SLK,259,4,45.2,5.71,256,2,1
3666,SOA,BAN,162,10,46.0,3.52,,1,0
3666,BAN,SOA,167,3,27.4,6.03,163,2,1
3668,SOA,BAN,168,9,40.0,4.2,,1,0
3668,BAN,SOA,170,1,26.1,6.49,170,2,1
3669,SLK,PAK,288,8,48.1,5.97,288,2,1
3669,PAK,SLK,287,8,50.0,5.74,,1,0
3670,SLK,PAK,181,10,41.1,4.39,317,2,0
3670,PAK,SLK,316,4,50.0,6.32,,1,1
3671,SLK,PAK,256,9,50.0,5.12,,1,0
3671,PAK,SLK,257,3,40.5,6.29,257,2,1
3672,SLK,PAK,368,4,50.0,7.36,,1,1
3672,PAK,SLK,203,10,37.2,5.43,369,2,0
3676,SOA,NZL,304,7,50.0,6.08,,1,1
3676,NZL,SOA,284,10,48.1,5.89,305,2,0
3677,SOA,NZL,204,10,49.3,4.12,,1,0
3677,NZL,SOA,207,2,44.3,4.65,205,2,1
3678,SOA,NZL,283,7,50.0,5.66,,1,1
3678,NZL,SOA,221,10,49.2,4.47,284,2,0
3680,ENG,AUS,246,10,45.3,5.4,306,2,0
3680,AUS,ENG,305,6,50.0,6.1,,1,1
3681,ENG,AUS,245,10,42.3,5.76,310,2,0
3681,AUS,ENG,309,7,49.0,6.3,,1,1
