ground_id,name,location,matches,won,tied,nr,runs,wickets,balls,average,rpo
gr000,Eden Gardens,Kolkata - India,4,4,0,0,2161,72,2297,30.01,5.64
gr001,Feroz Shah Kotla,Delhi - India,4,4,0,0,1789,75,2331,23.85,4.6
gr002,Melbourne Cricket Ground,Australia,15,15,0,0,7656,217,8482,35.28,5.41
gr003,Saurashtra Cricket Association Stadium,Rajkot - India,2,2,0,0,1163,26,1200,44.73,5.81
gr004,Adelaide Oval,Australia,10,10,0,0,4863,157,5645,30.97,5.16
gr005,Nehru Stadium,Kochi - India,3,3,0,0,1384,46,1567,30.08,5.29
gr006,Brisbane Cricket Ground,"Woolloongabba, Brisbane - Australia",8,8,0,0,3671,123,4189,29.84,5.25
gr007,JSCA International Stadium Complex,Ranchi - India,5,4,0,1,2303,68,2522,33.86,5.47
gr008,Boland Park,Paarl - South Africa,3,3,0,0,1478,51,1711,28.98,5.18
gr009,Sydney Cricket Ground,Australia,16,14,0,2,7535,209,7876,36.05,5.74
gr010,Diamond Oval,Kimberley - South Africa,3,3,0,0,1327,40,1514,33.17,5.25
gr011,Bellerive Oval,Hobart - Australia,6,6,0,0,3167,94,3192,33.69,5.95
gr012,Punjab Cricket Association IS Bindra Stadium,"Mohali, Chandigarh - India",5,5,0,0,3056,67,2957,45.61,6.2
gr013,Senwes Park,Potchefstroom - South Africa,2,2,0,0,935,30,1164,31.16,4.81
gr014,Himachal Pradesh Cricket Association Stadium,Dharamsala - India,4,4,0,0,1664,56,1987,29.71,5.02
gr015,W.A.C.A. Ground,Perth - Australia,12,12,0,0,5197,177,5918,29.36,5.26
gr016,Manuka Oval,Canberra - Australia,7,7,0,0,4226,110,4026,38.41,6.29
gr017,Seddon Park,Hamilton - New Zealand,16,15,0,1,7748,215,8165,36.03,5.69
gr018,McLean Park,Napier - New Zealand,8,8,0,0,3770,110,4299,34.27,5.26
gr019,National Cricket Stadium,"St George's, Grenada - West Indies",7,6,0,1,3051,87,3346,35.06,5.47
gr020,Eden Park,Auckland - New Zealand,12,10,1,1,5214,187,5603,27.88,5.58
gr021,Sharjah Cricket Stadium,U.A.E.,31,31,0,0,12905,470,15659,27.45,4.94
gr022,Mangaung Oval,Bloemfontein - South Africa,3,3,0,0,1430,48,1448,29.79,5.92
gr023,ICC Academy,Dubai - U.A.E.,23,22,0,1,10524,326,12214,32.28,5.16
gr024,SuperSport Park,Centurion - South Africa,12,11,0,1,5669,159,5826,35.65,5.83
gr025,The Wanderers Stadium,Johannesburg - South Africa,9,9,0,0,4683,122,4663,38.38,6.02
gr026,Kingsmead,Durban - South Africa,9,9,0,0,4480,132,4820,33.93,5.57
gr027,Mahinda Rajapaksa International Cricket Stadium,"Sooriyawewa, Hambantota - Sri Lanka",12,10,0,2,5460,138,5340,39.56,6.13
gr028,Willowmoore Park,Benoni - South Africa,3,3,0,0,1312,40,1488,32.8,5.29
gr029,Pallekele International Cricket Stadium,Sri Lanka,15,15,0,0,6879,224,7503,30.7,5.5
gr030,Queens Sports Club,Bulawayo - Zimbabwe,31,28,2,1,13034,441,15933,29.55,4.9
gr031,Grange Cricket Club,"Raeburn Place, Edinburgh - Scotland",12,10,0,2,5523,160,5884,34.51,5.63
gr032,Castle Avenue,Dublin - Ireland,8,7,1,0,4092,109,4506,37.54,5.44
gr033,VRA Ground,Amstelveen - Netherlands,5,4,1,0,2273,86,2845,26.43,4.79
gr034,Lord's,London - England,7,7,0,0,3549,110,3851,32.26,5.52
gr035,The Rose Bowl,Southampton - England,8,8,0,0,4766,103,4522,46.27,6.32
gr036,Trent Bridge,Nottingham - England,9,7,1,1,4944,112,4530,44.14,6.54
gr037,Sophia Gardens,Cardiff - England,14,13,1,0,6690,221,7264,30.27,5.52
gr038,Kennington Oval,London - England,17,15,0,2,8038,208,8369,38.64,5.76
gr039,Edgbaston,Birmingham - England,15,12,0,3,5950,182,6654,32.69,5.36
gr040,Sabina Park,"Kingston, Jamaica - West Indies",5,5,0,0,2229,68,2710,32.77,4.93
gr041,Mannofield Park,Aberdeen - Scotland,3,3,0,0,1094,45,1316,24.31,4.98
gr042,Queen's Park Oval,"Port of Spain, Trinidad - West Indies",6,5,0,1,2224,80,2661,27.8,5.01
gr043,Providence Stadium,Guyana - West Indies,10,10,0,0,4317,154,5477,28.03,4.72
gr044,Darren Sammy National Cricket Stadium,"Gros Islet, St Lucia - West Indies",7,5,1,1,2255,84,2944,26.84,4.59
gr045,R.Premadasa Stadium,"Khettarama, Colombo - Sri Lanka",18,18,0,0,8533,268,9277,31.83,5.51
gr046,Harare Sports Club,Zimbabwe,50,50,0,0,20917,739,26328,28.3,4.76
